customer_tweet_id,customer_message,gold_intent,predicted_intent,classifier_confidence,top_similarity,decision,decision_reason,historical_agent_response,generated_reply,human_groundedness,human_relevance,human_helpfulness,human_tone,human_no_unsupported_claims,human_overall
1853079,apparently trying to update my phone broke it. thanks,app_issue,ios_update_bug,0.920266443,0.45862922,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,We'd like to help. DM us what's happening with your phone since completing the update and we'll go from there. <URL>,"We're sorry to hear that updating your iPhone caused issues. Can you please DM us with more details about the problem you're experiencing, such as the error messages you saw or any other symptoms?",4,5,4,5,5,
739839,The amount of times that my phone freezes now. I have to downgrade the update . Y’all staying quiet about people’s issues with this 😒,ios_update_bug,ios_update_bug,0.865165465,0.313230845,ESCALATE,historical similarity 0.313 is below 0.35,We're here to help. Let's take this to DM so we can better assist you. <URL>,"We'd love to help with this issue. Can you please DM us with some additional information on what's happening with your phone, such as the exact error messages or symptoms you're experiencing? Also, could you let us know what version of iOS you're currently running?",4,5,4,5,5,
1971055,can’t get my Airplay of my iPhone/iPad to stream onto my Apple TV. Any suggestions?,app_issue,other,0.347584511,0.335175856,ESCALATE,classifier confidence 0.348 is below 0.70; historical similarity 0.335 is below 0.35,Let's take a closer look. Please DM us your current iOS version and if this happens with all apps or only particular ones. <URL>,"We'd like to help you troubleshoot the issue with AirPlay not working on your Apple TV. Can you please tell us more about the problem you're experiencing, such as any error messages or the last time it worked? We'd be happy to look into this further and try to find a solution. Let's continue this conversation in DM.",4,5,4,5,5,
1143224,any way to check the health of my battery on iPhone 7,battery_power,battery_power,0.999102858,0.854646171,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,Sure thing. Please meet us in a DM and we'll get started. Click here to continue: <URL>,"Help is here! Let's partner together and look into your battery concerns. To check the health of your iPhone 7 battery, you can go to Settings > Battery. From there, you can see the current battery health and capacity. Would you like any further assistance or have any questions about this?",5,5,5,5,5,
1700824,"Thankfully I’m good at adlibs and can figure this out, but we really need an update to fix this blasphemy, . <URL>",ios_update_bug,ios_update_bug,0.681342462,0.338098422,ESCALATE,classifier confidence 0.681 is below 0.70; historical similarity 0.338 is below 0.35,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,"Hi there,

Thank you for reaching out about the issue with your iOS. We're here to help. Can you please let us know if you're seeing this problem in all the apps with keyboard or only a select few?

If you could provide more details, we'll do our best to assist you in resolving the issue.",3,4,4,5,5,
320670,"after days since I updated my iPhone to iOS 11, my iPhone can't connect to wifi. How to fix this?",connectivity,connectivity,0.879857624,0.45843436,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. <URL>,Are you able to connect to other Wi-Fi networks? What happens when you try to connect? Any error message?,5,5,5,5,5,
259439,"Hi it’s stopped doing it now, thank you though, I don’t know why it was doing it 😊",other,other,0.820058081,0.441372684,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,We're glad to hear that. Feel free to reach out if any questions come up.,"We're glad to hear that the issue has been resolved. If you're experiencing any other problems or have questions about your device, feel free to ask.",5,5,5,5,5,
2675425,Cara menonaktifakan auto britghnes iphone <URL>,other,other,0.907716424,0.736241256,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,"We're happy to help with your issue. Unfortunately, I need a bit more information to assist you properly. Can you please tell me what type of issue you're experiencing with your iPhone and what specific problem you're trying to resolve?",2,2,2,4,5,
238751,In control centre. Also the volume control didn’t seem to be altering the Bluetooth output?,connectivity,connectivity,0.96288142,0.438048509,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,Control Center provides an easy way to disconnect Wi-Fi or Bluetooth connections. Check out <URL> for more info.,"That's expected behavior with iOS. For more information about the changes to Wi-Fi and Bluetooth in Control Center, check out the article we sent.",2,4,2,4,1,
2304954,fam I need some help with my apple id can u help me out pls,account_security,account_security,0.996665618,0.566406208,ESCALATE,account_security is classified as a high-risk intent,Of course. We'd love to help in any way we can. How can we help?,"We're happy to help! Can you please tell us more about the issue you're experiencing with your Apple ID, such as any error messages or security concerns?",5,5,4,5,5,
2004264,please explain this.,other,other,0.869095853,0.781256604,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,Thanks for reaching out!. The steps in this article should help: <URL> DM us if you're still having trouble. <URL>,We'd be happy to help. Can you please provide more context or details about the issue you're experiencing so we can assist you better?,5,5,5,5,5,
1173949,if I take my MacBook to an Apple Store can y'all instal a flat headphone jack on my lab top somewhere?,app_issue,other,0.505243284,0.264489301,ESCALATE,classifier confidence 0.505 is below 0.70; historical similarity 0.264 is below 0.35,We're here to help. Please DM us via the following link and we'll help you further. <URL>,"We'd be happy to help you with your MacBook. 

To determine the best course of action for installing a flat headphone jack, we'd like to know more about your device. 

Can you please tell us which model of MacBook you have and what issue you're experiencing with the headphone jack?",4,4,4,5,5,
2867270,It took me back to the home page. I just tried replicating the issue and this time had the ‘hide’ and red ‘hang up’ icon. So the issue appears to be intermittent,app_issue,other,0.320301921,0.292460665,ESCALATE,classifier confidence 0.320 is below 0.70; historical similarity 0.292 is below 0.35,Did you press the side button during your call? Is this the first time you noticed this behavior? Let us know in a DM. <URL>,We apologize for the intermittent issue with your iPhone. Can you please tell me which version of iOS you are currently running?,4,4,3,5,5,
842507,using apps it’s slow to register what I’m doing and the touch screen doesn’t register where I am tapping on the screen or won’t skip song,device_hardware,device_hardware,0.99627493,0.21673902,ESCALATE,historical similarity 0.217 is below 0.35,"After you restart, does your iPhone behave normally temporarily? Could you tell us which version of iOS 11 you have installed?","We're happy to help you with your concern about slow app registration and touchscreen responsiveness. Can you please tell us which apps you're using and if the issue is specific to those apps, or if it occurs across all apps?",5,5,5,5,5,
1513910,Erm boys it won’t let me play it 😟😟😭😭 I brought it and this happened 😭😭 <URL>,app_issue,other,0.63181386,0.424910334,ESCALATE,classifier confidence 0.632 is below 0.70,We want to help you enjoy your new album. Join us in DM and we'll look into this together. <URL>,"Hi there, Sorry to hear that you're having trouble playing something on your device. Can you tell me more about what happened right before the issue started? Did you notice any unusual behavior or errors before it stopped working?",4,4,4,5,5,
1044440,phone fell from 0.5 metres and front screen shattered - how is it the strongest ever ? Replace it free ?? Where in Gurgaon?,device_hardware,device_hardware,0.93751,0.228574951,ESCALATE,historical similarity 0.229 is below 0.35,Let's follow up in DM. We'll help look into more options for you there. <URL>,"Hello,

Sorry to hear that your phone's screen shattered after a fall. We understand your concern about the device's durability.

We can't provide a refund or guarantee, but we can try to assist you with service options. Our store location in Gurgaon is not available, but we can offer repair services. To get started, please DM us with your current location and we'll be happy to provide more information on how to proceed.

Best regards,
[Your Name]",3,4,4,4,4,
2271818,wth going on here <URL>,other,other,0.898172367,0.811432372,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,We want to help out. Have you tried restarting your device to test?,Let's find out. What do you see if you click on the battery?,2,2,2,4,4,
1704008,Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. you either charge for upgrades again or keep the half-done stuff for yourself. As a paying customer I say 👎,data_storage,ios_update_bug,0.456171661,0.35100217,ESCALATE,classifier confidence 0.456 is below 0.70,"We'd like to see how we can help, but first, what's happening exactly with the Photos app when you try to open it?","We can assist you with the issues you're experiencing with #macOS High Sierra. To further investigate, could you please send us a DM with more details about your specific problems and the country where you are located? <URL>",4,4,4,5,5,
2321400,Why is my Final Cut Pro X keeps crashing after I updated to high Sierra?,ios_update_bug,ios_update_bug,0.820312935,0.410063958,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,Hey there. Thanks for reaching out to us. We're always happy to help. Have you checked the App Store for any Final Cut updates?,"Thanks for reaching out to us about the issues you're experiencing with Final Cut Pro X on High Sierra. When you say it's crashing, can you tell us more about what happens before and after the crash? For example, do you notice any specific symptoms, such as a blue screen, error messages, or a sudden drop in performance?",5,5,5,5,5,
2144072,"when writing email, gmail account, in Mail app, on our iMac, sometimes progressive drafts show up on our iPad, but not iMac",account_security,other,0.385283434,0.219746016,ESCALATE,classifier confidence 0.385 is below 0.70; historical similarity 0.220 is below 0.35,Let's look into this further and figure it out. Does a restart help? Which macOS version are you running: <URL>,"We'd like to help you troubleshoot the issue with progressive drafts showing up on your iPad when writing emails in the Mail app, but not on your iMac. 

Could you please tell us more about the emails in question? Are they draft emails you're trying to send, or were they previously saved?",4,5,4,5,5,
2052193,If put out a sh*t release like 11.3 there would’ve been hell to pay. Slow as f*ck #fixyourshit,other,other,0.631635204,0.244438645,ESCALATE,classifier confidence 0.632 is below 0.70; historical similarity 0.244 is below 0.35,"We'd be happy to look into this with you. Please meet us in DM so we may gather information, and better assist. <URL>",We'd love to help with this. Can you tell us more about the issue you're experiencing with your iPhone running iOS 11? Are you experiencing any specific symptoms or errors that you think might be related to the recent update?,4,5,4,5,5,
2300117,Ok thanks for your help xxx,other,other,0.867639867,0.678881957,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,You're welcome. Have a great day!,You're welcome!,5,5,5,5,5,
1657292,I️ can’t even type “I” without that fucking symbol showing!! get your shit together!!!,other,other,0.861314069,0.50154545,AUTO-HANDLE,high classifier confidence and sufficiently similar historical support evidence,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,We'd like to help with this. Can you tell us more about what you're experiencing with the symbol showing when you try to type? Is this issue specific to a particular app or device?,4,5,4,5,5,
