customer_tweet_id,customer_message,gold_intent,predicted_intent,classifier_confidence,top_similarity,decision,generated_reply,judge_groundedness,judge_relevance,judge_helpfulness,judge_tone,judge_no_unsupported_claims,judge_overall
1853079,apparently trying to update my phone broke it. thanks,app_issue,ios_update_bug,0.920266443,0.45862922,AUTO-HANDLE,"We're sorry to hear that updating your iPhone caused issues. Can you please DM us with more details about the problem you're experiencing, such as the error messages you saw or any other symptoms?",4,5,5,5,5,4.8
739839,The amount of times that my phone freezes now. I have to downgrade the update . Y’all staying quiet about people’s issues with this 😒,ios_update_bug,ios_update_bug,0.865165465,0.313230845,ESCALATE,"We'd love to help with this issue. Can you please DM us with some additional information on what's happening with your phone, such as the exact error messages or symptoms you're experiencing? Also, could you let us know what version of iOS you're currently running?",2,2,2,2,2,2.0
1971055,can’t get my Airplay of my iPhone/iPad to stream onto my Apple TV. Any suggestions?,app_issue,other,0.347584511,0.335175856,ESCALATE,"We'd like to help you troubleshoot the issue with AirPlay not working on your Apple TV. Can you please tell us more about the problem you're experiencing, such as any error messages or the last time it worked? We'd be happy to look into this further and try to find a solution. Let's continue this conversation in DM.",4,1,1,1,1,1.6
1143224,any way to check the health of my battery on iPhone 7,battery_power,battery_power,0.999102858,0.854646171,AUTO-HANDLE,"Help is here! Let's partner together and look into your battery concerns. To check the health of your iPhone 7 battery, you can go to Settings > Battery. From there, you can see the current battery health and capacity. Would you like any further assistance or have any questions about this?",4,5,5,5,5,4.8
1700824,"Thankfully I’m good at adlibs and can figure this out, but we really need an update to fix this blasphemy, . <URL>",ios_update_bug,ios_update_bug,0.681342462,0.338098422,ESCALATE,"Hi there,

Thank you for reaching out about the issue with your iOS. We're here to help. Can you please let us know if you're seeing this problem in all the apps with keyboard or only a select few?

If you could provide more details, we'll do our best to assist you in resolving the issue.",2,2,2,2,1,1.8
320670,"after days since I updated my iPhone to iOS 11, my iPhone can't connect to wifi. How to fix this?",connectivity,connectivity,0.879857624,0.45843436,AUTO-HANDLE,Are you able to connect to other Wi-Fi networks? What happens when you try to connect? Any error message?,2,2,2,2,2,2.0
259439,"Hi it’s stopped doing it now, thank you though, I don’t know why it was doing it 😊",other,other,0.820058081,0.441372684,AUTO-HANDLE,"We're glad to hear that the issue has been resolved. If you're experiencing any other problems or have questions about your device, feel free to ask.",4,4,4,4,4,4.0
2675425,Cara menonaktifakan auto britghnes iphone <URL>,other,other,0.907716424,0.736241256,AUTO-HANDLE,"We're happy to help with your issue. Unfortunately, I need a bit more information to assist you properly. Can you please tell me what type of issue you're experiencing with your iPhone and what specific problem you're trying to resolve?",2,2,2,2,1,1.8
238751,In control centre. Also the volume control didn’t seem to be altering the Bluetooth output?,connectivity,connectivity,0.96288142,0.438048509,AUTO-HANDLE,"That's expected behavior with iOS. For more information about the changes to Wi-Fi and Bluetooth in Control Center, check out the article we sent.",2,2,2,2,2,2.0
2304954,fam I need some help with my apple id can u help me out pls,account_security,account_security,0.996665618,0.566406208,ESCALATE,"We're happy to help! Can you please tell us more about the issue you're experiencing with your Apple ID, such as any error messages or security concerns?",2,2,2,2,1,1.8
2004264,please explain this.,other,other,0.869095853,0.781256604,AUTO-HANDLE,We'd be happy to help. Can you please provide more context or details about the issue you're experiencing so we can assist you better?,2,2,2,2,2,2.0
1173949,if I take my MacBook to an Apple Store can y'all instal a flat headphone jack on my lab top somewhere?,app_issue,other,0.505243284,0.264489301,ESCALATE,"We'd be happy to help you with your MacBook. 

To determine the best course of action for installing a flat headphone jack, we'd like to know more about your device. 

Can you please tell us which model of MacBook you have and what issue you're experiencing with the headphone jack?",2,2,2,2,1,1.8
2867270,It took me back to the home page. I just tried replicating the issue and this time had the ‘hide’ and red ‘hang up’ icon. So the issue appears to be intermittent,app_issue,other,0.320301921,0.292460665,ESCALATE,We apologize for the intermittent issue with your iPhone. Can you please tell me which version of iOS you are currently running?,2,2,2,2,2,2.0
