customer_tweet_id,customer_message,agent_response,intent,annotation_notes
44611.0,But also can’t recognize my fingerprint 99% of the time,We understand how important Touch ID is and we'll help. Are you able to add any new fingerprints? Please send us a DM. <URL>,device_hardware,
550644.0,Only would make a bug that restarts my phone every 30 seconds. 🙄🙄🙄🙄🙄,"We've got the fix you need for that restart issue. Follow these steps here: <URL> to update your iPhone to iOS 11.2, and let us know if you see any other issues after that update.",other,
1215553.0,I need help on Apple TV 4k. Is this he right Handle to query ?,"Hey there! We'd love to help out with your Apple TV questions, please reach out to the experts here: <URL>",app_issue,
662806.0,iphone 5s and version 11.1.2,Thanks! Let us know if you've tried any steps so far via DM. <URL>,other,
2675746.0,is this real or a spam? <URL>,This appears to be a phishing attempt. Follow the steps listed here to report these emails: <URL>,other,
320670.0,"after days since I updated my iPhone to iOS 11, my iPhone can't connect to wifi. How to fix this?",We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. <URL>,connectivity,
338167.0,"Since iOS 11 my Apps crash, phone calls have no sound, and the phone randomly freezes. 100 billion dollar company, fix the problem.",Is it all apps or just certain ones?,app_issue,
1470719.0,Been editing my #greenscreen pics using #iPhone but saves as .AAE file- anyone know how to save as .jpg? #techhelp <URL>,"We'll point you in the right direction. For help with Photos on iOS, connect with an Advisor here: <URL>",device_hardware,
2076276.0,since update to iOS 11.0.2 phone is freezing and can’t access mail. What’s happening???,We'd love to help out. Which iPhone are you experiencing this with? Does restarting help with your app? DM us your reply. <URL>,app_issue,
1868214.0,are you not aware the calculator app still doesn’t work. Quickly tap 1+2+3+4+5...,We'd be happy to look into any inconsistencies you may be seeing in the Calculator App. DM us specifics to begin. <URL>,app_issue,
1098536.0,Using headphones - I’ll try my other headphones when my new cable arrives - thank you,"Trying from the built in speaker can also help isolate the behavior. Let us know the result, we're here for you!",other,
2028883.0,Hey I️ hate this glitch,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL> <URL>,other,
2003232.0,Is the activation server down? Keep getting the error that it's Temp Unavailable while trying to activate my X,"Hi Chris! Check out the steps here for troubleshooting this issue, and DM us if the issue persists: <URL> <URL>",other,
2493894.0,"Hi, i Completed this bundle on my iPad (with iOS 9) and it does not allow me to download the second app on my iPhone <URL>","Thanks for reaching out. To make sure we're on the same page, on your iPhone it shows a charge for an app that you've already purchased, just on your iPad?",app_issue,
2580431.0,I’m gone need y’all to fix this box bs or run me my one,We've got you today. Check out <URL> for steps to address this concern and DM us if we can help further. <URL>,other,
1971055.0,can’t get my Airplay of my iPhone/iPad to stream onto my Apple TV. Any suggestions?,Let's take a closer look. Please DM us your current iOS version and if this happens with all apps or only particular ones. <URL>,app_issue,
2618356.0,"2/2 I’ve spoken to my cell provider, they are now aware of the issue and are going to send me a new iPhone on Monday. Thank you for the speedy reply. People may criticise Apple (Technology) but you can’t beat apples customer service.","If the issue persists after getting a new device, it may be due to software issues within the user data. If that happens let us know and we can help troubleshoot the issue.",app_issue,
282840.0,Anytime I open an app it freezes and won’t even let me lock my phone then my phone restarts,We'd love to help out. Could you Direct Message us what country you're located in? <URL>,app_issue,
746869.0,Yep - all apps are turned on to be searched. I have turned all off and on again still not working. But also not searching for web results,"Send us a DM with the iOS version you're running in Settings > General > About > Version, and we'll go from there: <URL>",app_issue,
563023.0,"Literally this has been happening all day - can't listen to music, call a taxi, get to friends house. And apparently it's a known bug?! Sort it out <URL>","We'd love to help. Please work through the steps in this article and let us know the results. If your iPhone, iPad, or iPod touch unexpectedly restarts: <URL>",app_issue,
520199.0,"Dear , My six-year old son Just asked Siri, (on my locked phone) whilst holding down the ‘home bottom’ to call his mum, and she did! Apple, update Siri before katakata (consult 🇳🇬-lingo dictionary) will blow! Very concerned iPhone 7-plus user",We're here to help. Did you know that there is a setting that can prevent access to Siri when iPhone is locked? Go to Settings > Siri & Search > Allow Siri When Locked. Here's more information: <URL>,account_security,
2837108.0,Since the last update that fixed the “i” from a box and iOS 11.1.2,"Okay, let's touch base in DM. We'll try a few steps to help alleviate the issue there. <URL>",ios_update_bug,
2920038.0,What’s up with game center? #apple #gamecenter #boombeach #ios #fuck <URL>,We'd like to help. Have you tried quitting the Settings app and restarting your iPhone?,app_issue,
818248.0,MàJ des iPhones: le miens ne capte presque plus ma wifi la luminosité change toute seule et la batterie ne tiens plus! Merci,We offer support via Twitter in English. Contact us for help in your preferred language here: <URL>,connectivity,
2052193.0,If put out a sh*t release like 11.3 there would’ve been hell to pay. Slow as f*ck #fixyourshit,"We'd be happy to look into this with you. Please meet us in DM so we may gather information, and better assist. <URL>",other,
2404880.0,Hi I need change my Battery in Saudi Arabia but the store say no have price for it we should see the laptop and deal could u help me I see the price online 129$,We'd be happy to look into your options. Can you DM us the device model you are trying to replace the battery for? <URL>,battery_power,
1614990.0,I can’t dial out my screen been black since I been otp this morning I hate y’all I need a new phone 😤,We'd love to help. DM us using the link below so we can work on resolving your issue. See you there. <URL>,device_hardware,
360734.0,iPhone 6s,Got it. Thanks for providing that to us. Send us a DM and we can look further into this. <URL>,other,
296793.0,your new iOS has messed up my Bluetooth playing songs in my car!,We can help. What kind of issues it having while playing through Bluetooth?,connectivity,
568392.0,Cool. The update that I just installed said it was added to the phone. But you're saying it won't show up until next week?,That is correct. Please let us know if we can be of any other assistance.,ios_update_bug,
751778.0,"My 6S updated in the middle of the night. I woke up to the speaker on my phone not working. Get your fucking shit together, .",That's not the experience we want you to have. DM us using the link below. We'll work together from there. <URL>,device_hardware,
1974728.0,i wonder how come every time a new i phone come out we get updates to our old phone the make it slower and full of problems 🤔,"If you're having issues with your iPhone, we'd love to help. DM us with what version of iOS is currently installed. <URL>",ios_update_bug,
2138816.0,I️ am so over the glitches from the new IOS update 🙄,Here’s what you can do to work around the issue until it’s fixed in a future software update: <URL>,ios_update_bug,
1649009.0,... with the normal background (iphone 8 plus) ??? <URL>,Let’s see what’s causing this. Does this persist after restarting your iPhone 8? <URL>,other,
356129.0,iOS 11 is glitchy,We’d like to assist in any way we can. What device model are you using and what’s happening with it?,ios_update_bug,
1990470.0,"Yes, but it did’nt fix the issue. Oh well, maybe the next one will.","OK. If you'd like to continue working on this, please send us a DM. <URL>",other,
2676526.0,how do i remove child from family group as mum has set her up on different family group with diff email?,We can totally assist with that. Check this for instructions on moving a child between family groups. <URL>,settings_howto,
1785394.0,my phone has been freezing over and over again can you please fix this!?!??,"Hi there. Please DM and tell us what iPhone you're using, and your version of iOS. We'll meet you there to help out. <URL>",other,
2043549.0,pls answer my rep is at stake,We'd like to help. Let's start by following this article to make sure your AppleID is secured: <URL> <URL>,other,
